Date,Close/Last,Volume,Open,High,Low
03/30/2026,37.88,5061730,36.61,38.59,36.61
03/27/2026,38.23,5698523,36.07,38.47,35.93
03/26/2026,35.49,4702725,33.87,35.56,33.39
03/25/2026,33.21,4540081,32.95,34.02,32.65
03/24/2026,33.84,8398771,34.15,34.37,32.59
03/23/2026,33.14,9568517,32.44,33.97,31.64
03/20/2026,34.97,7614942,32.805,35.375,32.66
03/19/2026,32.65,8040403,35.13,35.50,31.90
03/18/2026,33.59,7002208,31.85,33.67,31.71
03/17/2026,30.88,3602800,30.85,31.21,30.38
03/16/2026,31.33,5278531,32.71,32.72,31.30
03/13/2026,33.88,5918183,32.49,34.00,31.92
03/12/2026,33.32,6178535,32.70,33.47,32.21
03/11/2026,31.19,5803169,32.13,32.705,31.14
03/10/2026,32.68,6100286,31.305,32.765,29.74
03/09/2026,31.17,12874530,34.91,36.195,30.63
03/06/2026,34.45,10391320,32.72,34.59,31.82
03/05/2026,30.35,7283979,29.365,31.68,28.905
03/04/2026,28.53,4356918,29.23,29.5199,28.03
03/03/2026,29.53,10414820,30.505,32.585,28.78
03/02/2026,28.22,5620466,29.61,29.665,27.76
02/27/2026,27.86,4433459,28.22,28.55,27.40
02/26/2026,26.81,3963760,26.33,27.915,26.33
02/25/2026,26.54,1926371,27.04,27.14,26.485
02/24/2026,27.58,2232509,28.435,28.77,27.42
02/23/2026,28.47,3630288,27.51,28.685,27.14
02/20/2026,27.40,4706143,28.50,28.74,27.11
02/19/2026,28.05,3777579,28.05,28.64,27.845
02/18/2026,27.37,3680765,27.41,27.75,26.72
02/17/2026,27.30,6811668,28.52,29.25,27.12
02/13/2026,28.31,7736458,27.86,28.79,26.89
02/12/2026,27.90,6230014,26.01,27.98,25.825
02/11/2026,26.24,3051677,25.73,26.87,25.65
02/10/2026,26.34,1978984,25.86,26.345,25.71
02/09/2026,25.81,3118517,26.57,26.72,25.6988
02/06/2026,26.71,4245797,27.59,27.67,26.4621
02/05/2026,28.42,5986242,27.82,28.8245,27.19
02/04/2026,26.75,6133407,26.22,27.92,26.05
02/03/2026,26.37,5684528,25.51,27.54,25.375
02/02/2026,25.28,3333498,26.45,26.45,25.205
01/30/2026,26.71,4067080,26.60,26.99,25.94
01/29/2026,26.27,3858616,26.44,27.8691,26.26
01/28/2026,26.09,2679269,25.95,26.46,25.7354
01/27/2026,26.09,1737605,25.61,26.10,25.42
01/26/2026,25.63,2248848,25.66,25.77,25.315
01/23/2026,25.68,2458546,25.53,25.77,25.05
01/22/2026,25.22,1963851,25.48,25.86,25.20
01/21/2026,25.84,6293390,27.29,27.675,25.5846
01/20/2026,28.46,8552321,27.86,28.9519,26.84
01/16/2026,25.60,2168477,25.35,25.84,25.25
01/15/2026,25.48,2505866,25.46,25.67,25.22
01/14/2026,26.26,5313826,26.29,26.98,26.0445
01/13/2026,25.63,3057054,24.92,25.92,24.88
01/12/2026,25.03,1563901,25.48,25.4899,24.97
01/09/2026,24.98,2694934,25.32,25.605,24.81
01/08/2026,25.34,3371805,25.78,25.8196,25.21
01/07/2026,25.68,3168572,25.31,25.799,25.31
01/06/2026,25.26,1514750,25.53,25.555,25.15
01/05/2026,25.57,1918018,25.10,25.57,24.95
01/02/2026,25.21,2317579,25.23,25.715,25.14
12/31/2025,25.64,2132689,25.49,26.20,25.27
12/30/2025,25.47,1363173,25.75,25.75,25.365
12/29/2025,25.86,1921590,26.41,26.41,25.63
12/26/2025,26.14,1456372,26.05,26.475,26.04
12/24/2025,26.19,882759,26.16,26.305,26.04
12/23/2025,26.22,1528598,26.35,26.35,26.08
12/22/2025,26.12,2567491,26.47,26.61,25.97
12/19/2025,27.05,2572752,27.86,27.86,26.85
12/18/2025,28.11,2495767,28.35,28.79,27.9144
12/17/2025,29.06,2698102,28.48,29.18,28.15
12/16/2025,28.57,2994617,28.77,29.29,28.40
12/15/2025,28.69,2748227,28.38,29.34,28.27
12/12/2025,28.72,4741917,28.47,29.98,28.24
12/11/2025,28.65,2473134,29.40,29.93,28.60
12/10/2025,29.06,3403200,30.42,30.61,28.97
12/09/2025,30.28,2367453,30.36,30.36,29.81
12/08/2025,30.10,2271442,29.77,30.57,29.735
12/05/2025,29.79,2212683,30.02,30.25,29.75
12/04/2025,30.16,1461582,30.22,30.675,29.90
12/03/2025,30.43,2964252,30.98,31.06,30.355
12/02/2025,30.60,2610596,30.82,31.10,30.56
12/01/2025,31.15,2831369,31.82,31.82,30.67
11/28/2025,31.13,1221583,31.68,31.72,31.05
11/26/2025,31.84,3223688,32.32,32.45,31.64
11/25/2025,32.76,2705000,33.665,34.9466,32.63
11/24/2025,33.66,2949506,35.71,35.7537,33.58
11/21/2025,36.25,9486196,37.24,39.33,35.86
11/20/2025,38.20,8787029,33.35,38.55,33.1201
11/19/2025,35.82,5084046,36.50,36.92,34.8301
11/18/2025,36.75,5849627,36.38,37.50,35.31
11/17/2025,35.30,5070833,34.16,35.83,33.29
11/14/2025,33.59,4531223,35.17,35.73,32.99
11/13/2025,34.16,4577246,32.35,34.745,32.09
11/12/2025,32.03,2259008,31.62,32.37,31.58
