date,exdate,cp_flag,symbol,ticker,optionid,strike,best_bid,best_offer,mid_price,impl_volatility,delta,gamma,vega,theta,volume,open_interest,dte,dte_distance_30,delta_distance_50,roll_id,is_new_roll
2024-09-13,2024-10-18,C,VIXY 241018C13000,VIXY,163777973,13.0,0.85,1.0,0.925,0.882497,0.438975,0.119373,1.464171,-6.558119,19,289,35,5,0.061024999999999996,1,True
2024-09-13,2024-10-18,P,VIXY 241018P13000,VIXY,163777994,13.0,1.6,2.2,1.9000000000000001,0.88808,-0.553636,0.118187,1.463758,-6.872662,1,126,35,5,0.05363600000000002,1,True
2024-09-16,2024-10-18,C,VIXY 241018C13000,VIXY,163777973,13.0,0.85,1.05,0.95,0.924349,0.444862,0.118833,1.410278,-7.094286,92,298,32,2,0.05513800000000002,1,False
2024-09-16,2024-10-18,P,VIXY 241018P13000,VIXY,163777994,13.0,1.75,2.0,1.875,0.929101,-0.546608,0.117218,1.407701,-7.772624,0,126,32,2,0.04660799999999998,1,False
2024-09-17,2024-10-18,C,VIXY 241018C13000,VIXY,163777973,13.0,1.0,1.25,1.125,1.025138,0.468782,0.108836,1.409439,-7.144349,59,377,31,1,0.031218000000000024,1,False
2024-09-17,2024-10-18,P,VIXY 241018P13000,VIXY,163777994,13.0,1.55,2.0,1.775,0.90305,-0.534009,0.117374,1.395711,-9.216777,0,126,31,1,0.034008999999999956,1,False
2024-09-18,2024-10-18,C,VIXY 241018C13000,VIXY,163777973,13.0,0.95,1.1,1.025,0.961905,0.462599,0.117159,1.388387,-7.653844,1102,408,30,0,0.03740100000000002,1,False
2024-09-18,2024-10-18,P,VIXY 241018P13000,VIXY,163777994,13.0,1.55,2.15,1.85,0.995502,-0.524309,0.111997,1.386816,-8.85699,0,126,30,0,0.024309000000000025,1,False
2024-09-19,2024-10-18,C,VIXY 241018C12000,VIXY,163777972,12.0,0.85,1.0,0.925,0.773066,0.507851,0.154935,1.320157,-6.043129,377,1254,29,1,0.007851000000000052,1,False
2024-09-19,2024-10-18,P,VIXY 241018P12000,VIXY,163777993,12.0,1.05,1.25,1.15,0.779405,-0.485531,0.151835,1.318656,-6.785963,44,174,29,1,0.01446900000000001,1,False
2024-09-20,2024-10-18,C,VIXY 241018C12000,VIXY,163777972,12.0,0.8,0.85,0.825,0.788586,0.475087,0.158912,1.27112,-5.43213,501,1435,28,2,0.02491300000000002,1,False
2024-09-20,2024-10-18,P,VIXY 241018P12000,VIXY,163777993,12.0,1.05,1.65,1.35,0.856913,-0.506362,0.139548,1.269134,-8.462959,6,211,28,2,0.006361999999999979,1,False
2024-09-23,2024-10-18,C,VIXY 241018C12000,VIXY,163777972,12.0,0.65,0.75,0.7,0.659873,0.485494,0.196142,1.223264,-5.571201,116,1833,25,5,0.014506000000000019,1,False
2024-09-23,2024-10-18,P,VIXY 241018P12000,VIXY,163777993,12.0,0.9,1.05,0.9750000000000001,0.685565,-0.506705,0.186884,1.222325,-6.417495,5,214,25,5,0.006704999999999961,1,False
2024-10-11,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,1.25,1.35,1.3,0.861495,0.538593,0.125514,1.542771,-4.459262,185,555,35,5,0.03859299999999999,2,True
2024-10-11,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,0.75,0.95,0.85,0.438099,-0.511975,0.207109,1.553457,-7.107407,42,19,35,5,0.011974999999999958,2,True
2024-10-14,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,0.95,1.05,1.0,0.780504,0.493468,0.139279,1.481125,-5.198276,176,521,32,2,0.006531999999999982,2,False
2024-10-14,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,0.6,1.35,0.9750000000000001,0.495017,-0.545071,0.202603,1.461539,-6.065264,21,60,32,2,0.04507099999999997,2,False
2024-10-15,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,0.9,1.2,1.05,0.719138,0.536535,0.157793,1.468575,-4.239314,251,619,31,1,0.036534999999999984,2,False
2024-10-15,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,0.75,1.1,0.925,0.562971,-0.479075,0.175928,1.486104,-7.481585,0,64,31,1,0.020925000000000027,2,False
2024-10-16,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,1.0,1.1,1.05,0.654523,0.559354,0.159537,1.480891,-5.711092,50,674,30,0,0.05935400000000002,2,False
2024-10-16,2024-11-15,P,VIXY 241115P14000,VIXY,164447598,14.0,0.0,3.8,1.9,0.930814,-0.537775,0.112337,1.490678,-8.505658,0,2,30,0,0.037775,2,False
2024-10-17,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,0.8,1.0,0.9,0.635687,0.526052,0.171059,1.448353,-5.772371,153,688,29,1,0.026051999999999964,2,False
2024-10-17,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,0.85,1.05,0.95,0.63769,-0.471011,0.170659,1.448325,-5.754406,15,63,29,1,0.028988999999999987,2,False
2024-10-18,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,0.7,0.8,0.75,0.64823,0.473565,0.174866,1.390397,-5.835425,643,763,28,2,0.026434999999999986,2,False
2024-10-18,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,1.0,1.2,1.1,0.648214,-0.523472,0.174951,1.390407,-5.83582,10,66,28,2,0.02347200000000005,2,False
2024-10-21,2024-11-15,C,VIXY 241115C13000,VIXY,164447576,13.0,0.65,0.75,0.7,0.661229,0.462676,0.181783,1.307804,-5.960037,550,1244,25,5,0.037324000000000024,2,False
2024-10-21,2024-11-15,P,VIXY 241115P13000,VIXY,164447597,13.0,0.95,1.25,1.1,0.668282,-0.531381,0.17803,1.306374,-6.748728,26,74,25,5,0.03138099999999999,2,False
2024-11-15,2024-12-20,C,VIXY 241220C47000,VIXY,165457359,47.0,2.95,3.6,3.2750000000000004,0.653886,0.49919,0.042898,5.661122,-20.01448,23,0,35,5,0.0008099999999999774,3,True
2024-11-15,2024-12-20,P,VIXY 241220P47000,VIXY,165457370,47.0,3.4,5.1,4.25,0.654667,-0.502051,0.043207,5.657386,-18.39181,2,1,35,5,0.002051000000000025,3,True
2024-11-18,2024-12-20,C,VIXY 241220C45000,VIXY,165457357,45.0,2.3,3.3,2.8,0.642142,0.480013,0.047958,5.150715,-16.79271,135,183,32,2,0.019986999999999977,3,False
2024-11-18,2024-12-20,P,VIXY 241220P44000,VIXY,165457367,44.0,2.6,3.6,3.1,0.578415,-0.471563,0.051865,5.140585,-19.14489,5,0,32,2,0.02843699999999999,3,False
2024-11-19,2024-12-20,C,VIXY 241220C46000,VIXY,165457358,46.0,1.15,4.7,2.925,0.607833,0.503871,0.049998,5.252,-16.42062,96,24,31,1,0.003870999999999958,3,False
2024-11-19,2024-12-20,P,VIXY 241220P46000,VIXY,165457369,46.0,1.7,5.9,3.8000000000000003,0.654515,-0.48562,0.044985,5.247834,-22.73513,1,16,31,1,0.014380000000000004,3,False
2024-11-20,2024-12-20,C,VIXY 241220C48000,VIXY,165457360,48.0,3.2,3.9,3.55,0.739216,0.502704,0.039928,5.36363,-22.4683,39,347,30,0,0.0027040000000000397,3,False
2024-11-20,2024-12-20,P,VIXY 241220P48000,VIXY,165457371,48.0,3.5,5.6,4.55,0.749322,-0.490099,0.038832,5.357429,-25.93009,0,2,30,0,0.009900999999999993,3,False
2024-11-21,2024-12-20,C,VIXY 241220C48000,VIXY,165457360,48.0,1.75,4.2,2.975,0.635184,0.496009,0.047424,5.281609,-22.09608,60,369,29,1,0.003991000000000022,3,False
2024-11-21,2024-12-20,P,VIXY 241220P48000,VIXY,165457371,48.0,2.4,5.1,3.75,0.619304,-0.508597,0.049097,5.275044,-19.42501,0,2,29,1,0.008596999999999966,3,False
2024-11-22,2024-12-20,C,VIXY 241220C46000,VIXY,165457358,46.0,2.7,3.1,2.9000000000000004,0.692971,0.481589,0.046287,4.931442,-20.75774,28,153,28,2,0.01841100000000001,3,False
2024-11-22,2024-12-20,P,VIXY 241220P46000,VIXY,165457369,46.0,3.5,4.7,4.1,0.693069,-0.512712,0.045646,4.924732,-23.793,0,17,28,2,0.012711999999999946,3,False
2024-11-25,2024-12-20,C,VIXY 241220C44000,VIXY,165457356,44.0,2.3,3.4,2.8499999999999996,0.698116,0.501444,0.050299,4.511829,-21.98934,27,36,25,5,0.0014440000000000008,3,False
2024-11-25,2024-12-20,P,VIXY 241220P44000,VIXY,165457367,44.0,2.4,4.7,3.55,0.705319,-0.493582,0.049387,4.508268,-24.03683,30,268,25,5,0.006417999999999979,3,False
