secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,strike,dte,mid_price,bid_ask_spread,abs_delta,delta_distance_50,dte_distance_30
145765,2024-09-13,VIXY 241018C13000,1,2024-10-18,2024-09-13,C,13000,0.85,1.0,19,289,0.882497,0.438975,0.119373,1.464171,-6.558119,163777973,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,13.0,35,0.925,0.15000000000000002,0.438975,0.061024999999999996,5
145765,2024-09-13,VIXY 241018C12000,1,2024-10-18,2024-09-13,C,12000,1.15,1.8,14,1157,0.991364,0.561272,0.106207,1.460811,-7.316206,163777972,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,12.0,35,1.475,0.6500000000000001,0.561272,0.06127199999999999,5
145765,2024-09-13,VIXY 241018C14000,1,2024-10-18,2024-09-13,C,14000,0.7,1.45,1,353,1.193867,0.40833,0.086847,1.442966,-8.802036,163777974,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,14.0,35,1.075,0.75,0.40833,0.09166999999999997,5
145765,2024-09-13,VIXY 241018C16000,1,2024-10-18,2024-09-09,C,16000,0.5,1.4,0,120,1.432593,0.334666,0.06788,1.354706,-9.963672,163777976,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,16.0,35,0.95,0.8999999999999999,0.334666,0.16533399999999998,5
145765,2024-09-13,VIXY 241018C20000,1,2024-10-18,2024-09-13,C,20000,0.3,2.3,12,275,2.168283,0.334538,0.044825,1.352762,-15.13972,163777980,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,20.0,35,1.2999999999999998,1.9999999999999998,0.334538,0.165462,5
145765,2024-09-13,VIXY 241018C11000,1,2024-10-18,2024-09-13,C,11000,1.45,1.95,121,335,0.786511,0.685193,0.121026,1.309929,-5.11461,163777971,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,11.0,35,1.7,0.5,0.685193,0.18519300000000005,5
145765,2024-09-13,VIXY 241018C15000,1,2024-10-18,2024-09-13,C,15000,0.6,0.8,28,409,1.096699,0.3136,0.086371,1.319369,-7.407662,163777975,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,15.0,35,0.7,0.20000000000000007,0.3136,0.1864,5
145765,2024-09-13,VIXY 241018C19000,1,2024-10-18,2024-09-09,C,19000,0.0,1.95,0,2,1.818745,0.296132,0.050746,1.285835,-12.05192,163777979,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,19.0,35,0.975,1.95,0.296132,0.203868,5
145765,2024-09-13,VIXY 241018C17000,1,2024-10-18,2024-09-13,C,17000,0.25,0.8,7,196,1.225293,0.233642,0.066805,1.14074,-7.18419,163777977,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,17.0,35,0.525,0.55,0.233642,0.266358,5
145765,2024-09-13,VIXY 241018C18000,1,2024-10-18,2024-09-13,C,18000,0.2,0.75,9,46,1.291863,0.208301,0.059338,1.067929,-7.103599,163777978,1,0,100,0,,,,,74347Y73,VIXY,,0,32,,%,,PROSHARES TRUST,,A,,18.0,35,0.475,0.55,0.208301,0.29169900000000004,5
